id, province_id , name , alt_name , latitude , longitude 
Kabupaten Lebak, -6.65 , 106.21667 
Kabupaten Pandeglang, -6.63333 , 105.75 
Kabupaten Serang, -6.15 , 106
Kabupaten Tangerang, -6.2 , 106.46667
Kota Cilegon, -6.01667 , 106.01667 
Kota Serang, -6.15 , 106 
Kota Tangerang, -6.17944 , 106.62991 
Kota Tangerang Selatan, -6.29373 , 106.71244 
